Initializing...
It is recommended that this program runs with GNU screen!
create db.txt file based on date
all friends of top12k twitter accounts and their profile are stored in the db, now we start to find their most followed friends
query to find number of followers of friends and to store the output in friends file.
         269257 function calls (260423 primitive calls) in 0.892 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    769/1    0.004    0.000    0.893    0.893 {built-in method builtins.exec}
        1    0.000    0.000    0.893    0.893 find_top_12k_v4-0.py:1(<module>)
        1    0.000    0.000    0.542    0.542 find_top_12k_v4-0.py:866(main)
        5    0.000    0.000    0.515    0.103 connection_cext.py:479(cmd_query)
        5    0.515    0.103    0.515    0.103 {method 'query' of '_mysql_connector.MySQL' objects}
        2    0.000    0.000    0.515    0.257 cursor_cext.py:223(execute)
    532/8    0.003    0.000    0.351    0.044 <frozen importlib._bootstrap>:986(_find_and_load)
    532/8    0.002    0.000    0.351    0.044 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    475/9    0.002    0.000    0.349    0.039 <frozen importlib._bootstrap>:650(_load_unlocked)
    419/9    0.001    0.000    0.349    0.039 <frozen importlib._bootstrap_external>:777(exec_module)
    625/9    0.000    0.000    0.348    0.039 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       27    0.001    0.000    0.313    0.012 __init__.py:1(<module>)
   388/44    0.001    0.000    0.275    0.006 {built-in method builtins.__import__}
  387/172    0.001    0.000    0.202    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        2    0.000    0.000    0.124    0.062 __init__.py:15(<module>)
        2    0.000    0.000    0.113    0.056 __init__.py:8(<module>)
      419    0.005    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.078    0.078 collection.py:15(<module>)
      252    0.001    0.000    0.057    0.000 re.py:289(_compile)
      135    0.000    0.000    0.057    0.000 re.py:250(compile)
      132    0.001    0.000    0.055    0.000 sre_compile.py:759(compile)
  521/502    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap>:890(_find_spec)
  471/470    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.045    0.045 connectionpool.py:1(<module>)
       48    0.000    0.000    0.041    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
       48    0.040    0.001    0.041    0.001 {built-in method _imp.create_dynamic}
        7    0.000    0.000    0.041    0.006 __init__.py:2(<module>)
      517    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      517    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      419    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      419    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
      132    0.001    0.000    0.034    0.000 sre_parse.py:937(parse)
  510/132    0.002    0.000    0.033    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.033    0.033 common.py:16(<module>)
  656/145    0.012    0.000    0.032    0.000 sre_parse.py:493(_parse)
1056/1055    0.016    0.000    0.032    0.000 {built-in method builtins.__build_class__}
     1032    0.008    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      316    0.001    0.000    0.027    0.000 overrides.py:166(decorator)
        3    0.000    0.000    0.026    0.009 api.py:3(<module>)
      729    0.004    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        2    0.000    0.000    0.025    0.012 connection.py:1(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:31(<module>)
        2    0.000    0.000    0.022    0.011 __init__.py:29(<module>)
        1    0.000    0.000    0.021    0.021 utils.py:3(<module>)
        1    0.000    0.000    0.020    0.020 auth.py:15(<module>)
        1    0.000    0.000    0.020    0.020 ssl_.py:1(<module>)
        1    0.000    0.000    0.020    0.020 url.py:1(<module>)
      132    0.000    0.000    0.020    0.000 sre_compile.py:598(_code)
    47/41    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
    47/41    0.005    0.000    0.019    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.018    0.018 _internal_utils.py:3(<module>)
        2    0.000    0.000    0.017    0.009 compat.py:3(<module>)
      316    0.017    0.000    0.017    0.000 {built-in method builtins.compile}
        1    0.016    0.016    0.016    0.016 {built-in method posix.system}
 1222/132    0.006    0.000    0.015    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.015    0.015 connection_cext.py:29(<module>)
